text,Task_aspects,Task_count,text_clean,qwen2.5-3B_answer,time
"В рамках проекта по  <Task>  автоматизации работы с поэтическими текстами  </Task> , реализуемого на базе Института вычислительных технологий СО РАН, ведется комплекс исследований, связанных с  <Task> анализом поэтических текстов </Task> . Каждый компонент проекта относится к одному из структурных уровней анализа текста: структурный, семантический, прагматический. Структурный анализ поэтического текста связан с выделением его метроритмических характеристик. В рамках семантического анализаведутся исследования по выделению смысловых конструкций из произведения. Прагматический уровень включает в себя исследования по автоматическому определению высокоуровневых характеристик поэтического текста, таких как жанр и стиль. В данной работе  <Contrib> описан процесс проектирования и реализации информационной системы представления результатов анализа поэтических текстов </Contrib> . На этапе проектирования  <Contrib> сформулированы задачи, которые призвана решать информационная система </Contrib> , а также  <Contrib> изложены требования в порядке приоритета для общего проекта </Contrib> . Представленная информационная система объединяет в себе разнородную информацию о результатах анализа поэтических текстов, полученных на каждом из уровней представления. Исходя из потребностей потенциальных пользователей,  <Contrib> выполнено описание внешних взаимодействующих элементов системы </Contrib> .  <Contrib> Разработан тестовый интерфейс для доступа к хранилищу информационной системы </Contrib> . Реализация информационной системы обеспечит существенное  <Use> упрощение исследований поэтических текстов </Use> . ","['автоматизации работы с поэтическими текстами', 'анализом поэтических текстов']",2,"В рамках проекта по    автоматизации работы с поэтическими текстами   , реализуемого на базе Института вычислительных технологий СО РАН, ведется комплекс исследований, связанных с   анализом поэтических текстов  . Каждый компонент проекта относится к одному из структурных уровней анализа текста: структурный, семантический, прагматический. Структурный анализ поэтического текста связан с выделением его метроритмических характеристик. В рамках семантического анализаведутся исследования по выделению смысловых конструкций из произведения. Прагматический уровень включает в себя исследования по автоматическому определению высокоуровневых характеристик поэтического текста, таких как жанр и стиль. В данной работе   описан процесс проектирования и реализации информационной системы представления результатов анализа поэтических текстов  . На этапе проектирования   сформулированы задачи, которые призвана решать информационная система  , а также   изложены требования в порядке приоритета для общего проекта  . Представленная информационная система объединяет в себе разнородную информацию о результатах анализа поэтических текстов, полученных на каждом из уровней представления. Исходя из потребностей потенциальных пользователей,   выполнено описание внешних взаимодействующих элементов системы  .   Разработан тестовый интерфейс для доступа к хранилищу информационной системы  . Реализация информационной системы обеспечит существенное   упрощение исследований поэтических текстов  . ",Упрощение исследований поэтических текстов,1.0560195446014404
"Проблема  <Task> своевременного предупреждения населения об опасности цунами </Task>  всё еще является актуальной на прибрежных территориях всего мира. Несмотря на то что цунами довольно редкое явление, его последствия могут быть катастрофическими. В Академгородке многие годы занимаются разработкой и реализацией алгоритмов  <Task>  численного моделирования цунами  </Task> , используемых для расчета параметров цунами у береговой линии. Целью данной работы является  <Goal> объединение существующих реализаций алгоритмов, написанных на разных языках программирования (С++, Си, Python, Kotlin, Fortran и т. д.), в единую систему </Goal> . Разработанная система позволит, принимая на вход данные о сейсмическом событии,  <Use> рассчитывать параметры цунами у защищаемой береговой линии </Use> .  <Contrib>  В статье рассмотрены основные этапы работы системы </Contrib> , такие как мониторинг сейсмической активности, извлечение данных с DART станций, фильтрация приливной компоненты, расчет времени добегания волны и непосредственно моделирование, и промежуточные шаги, связанные с предобработкой и трансформацией данных. Особое внимание уделяется разработке архитектуры системы, взаимодействие между модулями построено таким образом, чтобы в дальнейшем реализации алгоритмов могли дорабатываться и беспрепятственно встраиваться в систему. ","['своевременного предупреждения населения об опасности цунами', 'численного моделирования цунами']",2,"Проблема   своевременного предупреждения населения об опасности цунами   всё еще является актуальной на прибрежных территориях всего мира. Несмотря на то что цунами довольно редкое явление, его последствия могут быть катастрофическими. В Академгородке многие годы занимаются разработкой и реализацией алгоритмов    численного моделирования цунами   , используемых для расчета параметров цунами у береговой линии. Целью данной работы является   объединение существующих реализаций алгоритмов, написанных на разных языках программирования (С++, Си, Python, Kotlin, Fortran и т. д.), в единую систему  . Разработанная система позволит, принимая на вход данные о сейсмическом событии,   рассчитывать параметры цунами у защищаемой береговой линии  .    В статье рассмотрены основные этапы работы системы  , такие как мониторинг сейсмической активности, извлечение данных с DART станций, фильтрация приливной компоненты, расчет времени добегания волны и непосредственно моделирование, и промежуточные шаги, связанные с предобработкой и трансформацией данных. Особое внимание уделяется разработке архитектуры системы, взаимодействие между модулями построено таким образом, чтобы в дальнейшем реализации алгоритмов могли дорабатываться и беспрепятственно встраиваться в систему. ","Объединение существующих реализаций алгоритмов для численного моделирования цунами в одну систему, которая может рассчитывать параметры цунами у защищаемой береговой линии при получении данных о сейсмическом событии.",3.5870754718780518
"Работа посвящена  <Contrib>  описанию структуры информационно-аналитической системы «Ixodes» , ориентированной на работу c представительной коллекцией иксодовых клещей из разных биотопов </Contrib> , а именно для территорий Алтая, Сибири и Дальнего востока. Показаны варианты применения системы для  <Use> анализа генетического разнообразия клещей и переносимых ими патогенов </Use>   при помощи  <Method>  методов статистической обработки в виде круговых и столбчатых диаграмм (гистограмм) </Method> .   <Contrib> Описаны реализованные алгоритмы, позволяющие проводить анализ генетической последовательности исследуемого патогена </Contrib>  на основе  <Method> L-граммного подхода </Method>  и  <Method> методами разбиения филогенетического дерева на группы близких последовательностей </Method> . При этом для первичной обработки набора геномов используются  <Method> методы множественного выравнивания последовательностей </Method>  и  <Method> метод присоединения соседей </Method> , позволяющий выполнить построение филогенетического дерева. Представленные алгоритмы и методы использовались для решения задачи  <Task> генотипирования вируса клещевого энцефалита (ВКЭ) </Task> . Представлены результаты апробации для методов разбиения филогенетического дерева и их сравнительный анализ=. Описана архитектура информационно-аналитической системы для анализа набора геномов. Система предназначена для  <Use> анализа множества геномов и их классификации </Use> , а именно для  <Use> анализа генотипов внутри одного вида живых организмов </Use> , поскольку методы направлены для  <Task> выделения различий геномов, имеющих схожую структуру </Task> .","['генотипирования вируса клещевого энцефалита (ВКЭ)', 'выделения различий геномов, имеющих схожую структуру']",2,"Работа посвящена    описанию структуры информационно-аналитической системы «Ixodes» , ориентированной на работу c представительной коллекцией иксодовых клещей из разных биотопов  , а именно для территорий Алтая, Сибири и Дальнего востока. Показаны варианты применения системы для   анализа генетического разнообразия клещей и переносимых ими патогенов    при помощи    методов статистической обработки в виде круговых и столбчатых диаграмм (гистограмм)  .    Описаны реализованные алгоритмы, позволяющие проводить анализ генетической последовательности исследуемого патогена   на основе   L-граммного подхода   и   методами разбиения филогенетического дерева на группы близких последовательностей  . При этом для первичной обработки набора геномов используются   методы множественного выравнивания последовательностей   и   метод присоединения соседей  , позволяющий выполнить построение филогенетического дерева. Представленные алгоритмы и методы использовались для решения задачи   генотипирования вируса клещевого энцефалита (ВКЭ)  . Представлены результаты апробации для методов разбиения филогенетического дерева и их сравнительный анализ=. Описана архитектура информационно-аналитической системы для анализа набора геномов. Система предназначена для   анализа множества геномов и их классификации  , а именно для   анализа генотипов внутри одного вида живых организмов  , поскольку методы направлены для   выделения различий геномов, имеющих схожую структуру  .",Генотипирования вируса клещевого энцефалита (ВКЭ).,1.3545758724212646
"Для эффективного  <Task>  освоения залежей углеводородов </Task>  чрезвычайно важной становится  высокая точность проводки горизонтальных скважин в целевых пластах-коллекторах . В процессе бурения геонавигация скважины со сложной траекторией выполняется по геофизическим данным в реальном масштабе времени. Представленная работа посвящена  <Contrib> разработке нового программного обеспечения для геонавигации нефтегазовых скважин с горизонтальным завершением </Contrib> . Для решения задач геонавигации используются алгоритмы, основанные на  <Method> методах корреляции каротажных данных и численной инверсии измерений электромагнитного каротажа </Method> . Разработанное новое программное приложение основано на web-технологиях и имеет клиент-серверную архитектуру. Для оптимизации времени выполнения ресурсоемких расчётов используются  <Method> высокопроизводительные облачные вычисления </Method> .",['освоения залежей углеводородов'],1,"Для эффективного    освоения залежей углеводородов   чрезвычайно важной становится  высокая точность проводки горизонтальных скважин в целевых пластах-коллекторах . В процессе бурения геонавигация скважины со сложной траекторией выполняется по геофизическим данным в реальном масштабе времени. Представленная работа посвящена   разработке нового программного обеспечения для геонавигации нефтегазовых скважин с горизонтальным завершением  . Для решения задач геонавигации используются алгоритмы, основанные на   методах корреляции каротажных данных и численной инверсии измерений электромагнитного каротажа  . Разработанное новое программное приложение основано на web-технологиях и имеет клиент-серверную архитектуру. Для оптимизации времени выполнения ресурсоемких расчётов используются   высокопроизводительные облачные вычисления  .",Решена задача геонавигации нефтегазовых скважин с горизонтальным завершением.,1.397231101989746
"При  <Task> формировании единого информационного пространства (ЕИП) </Task>  широко используется  <Method> моделирование как объектов информационного обмена, так и инфраструктуры ЕИП </Method> . Несмотря на большое разнообразие подходов к решению данной задачи, в частности с использованием метода матрицы структуры проекта, предлагаемые решения не обеспечивают непосредственную связь между элементами описываемой структуры и используемыми аппаратными и программными средствами. Также существующие подходы к моделированию информационной структуры  не учитывают возможные внешние и внутренние ограничения, накладываемые на размещение компонентов ЕИП в пространстве предприятия. В работе  <Contrib>  предлагается  подход к формализации структуры ЕИП предприятия-разработчика МЭС </Contrib>   <Goal> призван устранить данные недостатки </Goal> . В статье  <Contrib>  рассмотрена обобщенная модель структурной организации единого информационного пространства по параллельному методу интеграции средств поддержки жизненного цикла изделия </Contrib> . Модель включает в себя описание элементов структуры информационного пространства, каналов связи, их статических и динамических характеристик. Предложенная модель также  <Adv> учитывает ограничения, накладываемые на формирование структуры ЕИП </Adv> . Имитационное моделирование структурной организации ЕИП, представленной в виде совокупности многоканальных систем массового обслуживания позволило сделать  выводы о пропускной способности и надежность рассматриваемых вариантов организации ЕИПс учетом предлагаемых к использованию аппаратных (серверное решение) и программных (система управления базами данных) средств.",['формировании единого информационного пространства (ЕИП)'],1,"При   формировании единого информационного пространства (ЕИП)   широко используется   моделирование как объектов информационного обмена, так и инфраструктуры ЕИП  . Несмотря на большое разнообразие подходов к решению данной задачи, в частности с использованием метода матрицы структуры проекта, предлагаемые решения не обеспечивают непосредственную связь между элементами описываемой структуры и используемыми аппаратными и программными средствами. Также существующие подходы к моделированию информационной структуры  не учитывают возможные внешние и внутренние ограничения, накладываемые на размещение компонентов ЕИП в пространстве предприятия. В работе    предлагается  подход к формализации структуры ЕИП предприятия-разработчика МЭС     призван устранить данные недостатки  . В статье    рассмотрена обобщенная модель структурной организации единого информационного пространства по параллельному методу интеграции средств поддержки жизненного цикла изделия  . Модель включает в себя описание элементов структуры информационного пространства, каналов связи, их статических и динамических характеристик. Предложенная модель также   учитывает ограничения, накладываемые на формирование структуры ЕИП  . Имитационное моделирование структурной организации ЕИП, представленной в виде совокупности многоканальных систем массового обслуживания позволило сделать  выводы о пропускной способности и надежность рассматриваемых вариантов организации ЕИПс учетом предлагаемых к использованию аппаратных (серверное решение) и программных (система управления базами данных) средств.",Предложенный подход к формализации структуры ЕИП предприятия-разработчика МЭС.,1.5475549697875977
"В процессе бурения нефтегазовых скважин требуется  <Task>  оказание удаленной поддержки с использованием существующих каналов связи с офисом </Task> , заключающейся в контроле параметров и принятии неотложных решений. Наиболее распространена спутниковая и мобильная связь, для которой характерна низкая скорость приема и передачи данных, частые разрывы, использование NAT. В рамках данной работы  <Contrib> разработано программное средство прозрачного доступа к параметрам бурения и данным скважинной телеметрической системы </Contrib>  с целью  <Goal> организации удаленного сопровождения по существующим каналам связи с учетом их ограничений </Goal> . В основу программного средства легла реализация  <Method> протокола SSH </Method> , что обеспечило  <Adv> сжатие и шифрование передаваемых данных </Adv>  и  <Adv> прозрачный доступ к TCP-сервисам на буровой </Adv> . Благодаря этому возможно использование существующего ПО для  <Use> доступа к данным телеметрической системы </Use> , что  <Adv>  позволяет снизить объем передаваемых данных в сравнении с ПО удаленных рабочих столов </Adv> . Программное средство прошло апробацию в условиях, близким к полевым, и показало свою пригодность к решению поставленных задач.",['оказание удаленной поддержки с использованием существующих каналов связи с офисом'],1,"В процессе бурения нефтегазовых скважин требуется    оказание удаленной поддержки с использованием существующих каналов связи с офисом  , заключающейся в контроле параметров и принятии неотложных решений. Наиболее распространена спутниковая и мобильная связь, для которой характерна низкая скорость приема и передачи данных, частые разрывы, использование NAT. В рамках данной работы   разработано программное средство прозрачного доступа к параметрам бурения и данным скважинной телеметрической системы   с целью   организации удаленного сопровождения по существующим каналам связи с учетом их ограничений  . В основу программного средства легла реализация   протокола SSH  , что обеспечило   сжатие и шифрование передаваемых данных   и   прозрачный доступ к TCP-сервисам на буровой  . Благодаря этому возможно использование существующего ПО для   доступа к данным телеметрической системы  , что    позволяет снизить объем передаваемых данных в сравнении с ПО удаленных рабочих столов  . Программное средство прошло апробацию в условиях, близким к полевым, и показало свою пригодность к решению поставленных задач.","Решена задача организации удаленного сопровождения бурения нефтегазовых скважин с использованием существующих каналов связи, учитывая их ограничения.",2.5381553173065186
Приведены результаты применения  <Method> глубоких нейронных сетей </Method>  для  <Task> детектирования вредоносной активности в сетевом трафике </Task> . В процессе исследованияреализованы 2 вида нейронной сети:  <Method> рекуррентный автоэнкодер </Method>  и  <Method> генеративно-состязательная сеть </Method> . Приведены результаты исследования на  <Example>  наборе данных CICIDS2017  </Example> .,['детектирования вредоносной активности в сетевом трафике'],1,Приведены результаты применения   глубоких нейронных сетей   для   детектирования вредоносной активности в сетевом трафике  . В процессе исследованияреализованы 2 вида нейронной сети:   рекуррентный автоэнкодер   и   генеративно-состязательная сеть  . Приведены результаты исследования на    наборе данных CICIDS2017   .,Решена задача детектирования вредоносной активности в сетевом трафике.,1.0745854377746582
"Статья посвящена вопросу  <Task> поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) запросов в SPARQL-запросы  </Task>  (далее – средство трансформации). Во введении описаны актуальность  <Task>  задачи  понимания естественно-языковых запросов информационными системами  </Task> , а также преимущества использования  <Method> онтологий </Method>  как средства представления знаний для решения данной задачи. Обозначена роль средств трансформации в системах с ЕЯ-запросами к реляционным базам данных. На основании  <Contrib> анализа проблем, связанных с комплексированием и тестированием существующих средств трансформации </Contrib> , а также с целью  <Goal> поддержки создания и тестирования собственных модулей трансформации </Goal>   <Contrib>  предложена концепция программной платформы, упрощающей эти задачи </Contrib> . Архитектура платформы  <Adv> удовлетворяет требованиям простоты подключения сторонних средств трансформации, переиспользования отдельных модулей, а также интеграции результирующих средств трансформации в другие системы </Adv> , в том числе в системы тестирования. Строительными блоками создаваемых систем трансформации служат отдельные модули трансформации, упакованные в  <Tool>  Docker-контейнеры </Tool> . Программный доступ к каждому модулю осуществляется при помощи  <Tool> gRPC </Tool> .Загруженные в платформу модули могут быть выстроены в конвейер трансформации автоматически или вручную при помощи встроенного стороннего  <Tool>  редактора диаграмм потоков данных SciVi </Tool> . Совместимость отдельных модулей контролируется при помощи автоматического анализа программных интерфейсов. На основании спецификации конвейера в формате, поддерживаемом  <Tool>  SciVi  </Tool> , а также gRPC-спецификаций отдельных модулей комплексируется единое многоконтейнерное приложение, которое  <Use> может быть интегрировано в другие системы </Use> , а также протестировано на пополняемом наборе тестов. Ожидаемые и фактические результаты трансформации запроса доступны для просмотра в графическом виде в  <Contrib> разработанном ранее средстве визуализации </Contrib> .","['поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) запросов в SPARQL-запросы', 'задачи  понимания естественно-языковых запросов информационными системами']",2,"Статья посвящена вопросу   поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) запросов в SPARQL-запросы    (далее – средство трансформации). Во введении описаны актуальность    задачи  понимания естественно-языковых запросов информационными системами   , а также преимущества использования   онтологий   как средства представления знаний для решения данной задачи. Обозначена роль средств трансформации в системах с ЕЯ-запросами к реляционным базам данных. На основании   анализа проблем, связанных с комплексированием и тестированием существующих средств трансформации  , а также с целью   поддержки создания и тестирования собственных модулей трансформации      предложена концепция программной платформы, упрощающей эти задачи  . Архитектура платформы   удовлетворяет требованиям простоты подключения сторонних средств трансформации, переиспользования отдельных модулей, а также интеграции результирующих средств трансформации в другие системы  , в том числе в системы тестирования. Строительными блоками создаваемых систем трансформации служат отдельные модули трансформации, упакованные в    Docker-контейнеры  . Программный доступ к каждому модулю осуществляется при помощи   gRPC  .Загруженные в платформу модули могут быть выстроены в конвейер трансформации автоматически или вручную при помощи встроенного стороннего    редактора диаграмм потоков данных SciVi  . Совместимость отдельных модулей контролируется при помощи автоматического анализа программных интерфейсов. На основании спецификации конвейера в формате, поддерживаемом    SciVi   , а также gRPC-спецификаций отдельных модулей комплексируется единое многоконтейнерное приложение, которое   может быть интегрировано в другие системы  , а также протестировано на пополняемом наборе тестов. Ожидаемые и фактические результаты трансформации запроса доступны для просмотра в графическом виде в   разработанном ранее средстве визуализации  .",Поддержка процесса создания средства трансформации естественно-языковых (ЕЯ) запросов в SPARQL-запросы.,2.8127124309539795
"В данной статье рассматривается проблема  <Task> защиты от несанкционированного доступа к данным путем идентификации пользователей по биометрическим характеристикам, а именно, клавиатурному почерку </Task>  . Для решения этой задачи авторами была  <Contrib> проведена серия опытов для получения статистической выборки образцов клавиатурного почерка </Contrib> , которые используются в качестве биометрической характеристики для установления личности ее владельца. Для анализа данных и определения автора конкретного образца почерка в работе рассматривается  <Method> метод k-средних </Method> , являющийся одним из наиболее простых и эффективных статистических методов классификации в случае, когда число кластеров заранее известно. Оценка эффективности предложенного метода для решения поставленной задачи оценивается с помощью  <Method> коэффициентов ложного доступа и ложного отказа в доступе </Method> , которые являются основными характеристиками биометрических систем аутентификации. Полученные результаты позволяют сделать вывод о  <Conc> наличии ряда ограничений при использовании данного метода, возникающих в силу того, что данная задача является слабоформализуемой, зависящей от множества факторов, в том числе и не поддающихся математическому описанию, таких как нестабильность клавиатурного почерка, объясняемая изменением психофизиологического состояния пользователя, эргономичностью клавиатуры и т.д. </Conc>  Учитывая все вышеупомянутые особенности, дальнейшее решение задачи предлагается рассматривать в перспективе использования  методов, основанных на интеллектуальной обработке данных, которые позволяют обнаруживать в потоке данных скрытые закономерности и зависимости.","['защиты от несанкционированного доступа к данным путем идентификации пользователей по биометрическим характеристикам, а именно, клавиатурному почерку']",1,"В данной статье рассматривается проблема   защиты от несанкционированного доступа к данным путем идентификации пользователей по биометрическим характеристикам, а именно, клавиатурному почерку   . Для решения этой задачи авторами была   проведена серия опытов для получения статистической выборки образцов клавиатурного почерка  , которые используются в качестве биометрической характеристики для установления личности ее владельца. Для анализа данных и определения автора конкретного образца почерка в работе рассматривается   метод k-средних  , являющийся одним из наиболее простых и эффективных статистических методов классификации в случае, когда число кластеров заранее известно. Оценка эффективности предложенного метода для решения поставленной задачи оценивается с помощью   коэффициентов ложного доступа и ложного отказа в доступе  , которые являются основными характеристиками биометрических систем аутентификации. Полученные результаты позволяют сделать вывод о   наличии ряда ограничений при использовании данного метода, возникающих в силу того, что данная задача является слабоформализуемой, зависящей от множества факторов, в том числе и не поддающихся математическому описанию, таких как нестабильность клавиатурного почерка, объясняемая изменением психофизиологического состояния пользователя, эргономичностью клавиатуры и т.д.   Учитывая все вышеупомянутые особенности, дальнейшее решение задачи предлагается рассматривать в перспективе использования  методов, основанных на интеллектуальной обработке данных, которые позволяют обнаруживать в потоке данных скрытые закономерности и зависимости.","Задача была решена путем идентификации пользователей по биометрическим характеристикам, а именно, клавиатурному почерку.",2.5274062156677246
